Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
land_reform_two;Title and Deed system;;;;;;;x
land_reform_two_desc;The state guarantees private property and land development rights;;;;;;;x
admin_reform_two;Foreign-Trained Civil Service;;;;;;;x
admin_reform_two_desc;The national administration is now run by western-educated bureaucrats;;;;;;;x
education_reform_two;Universities;;;;;;;x
education_reform_two_desc;Western-style schools of higher learning are established;;;;;;;x
transport_improv_two;Advanced railroads;;;;;;;x
transport_improv_two_desc;Our transportation system can move people and goods as never before!;;;;;;;x
no_western_science;Traditional learning;;;;;;;x
no_western_science_desc;We rely on the old ideas;;;;;;;x
yes_western_science;Basic Western learning;;;;;;;x
yes_western_science_desc;We send our students to learn foreign ideas in science from the West;;;;;;;x
western_science_two;Scientific Research;;;;;;;x
western_science_two_desc;We promote research into scientific and economic theories in our schools;;;;;;;x
foreign_training_two;Foreign Tactics;;;;;;;x
foreign_training_two_desc;Our troops learn western military tactics before going into battle;;;;;;;x
foreign_weapons_two;Advanced foreign weapons;;;;;;;x
foreign_weapons_two_desc;Our BOOMSTICKS are better!;;;;;;;x
military_constructions_two;Modern Constructions;;;;;;;x
military_constructions_two_desc;Our forts are modern and more defensible ;;;;;;;x
foreign_officers_two;Domestic officer training;;;;;;;x
foreign_officers_two_desc;Our own officers will now lead our troops!;;;;;;;x
army_schools_two;Military academies;;;;;;;x
army_schools_two_desc;Our offcers are instructed in advanced military tactics before leading men into battle;;;;;;;x
foreign_naval_officers_two;Domestic naval officers;;;;;;;x
foreign_naval_officers_two_desc;Our captains lead without foreign advisors;;;;;;;x
naval_schools_two;Naval academies;;;;;;;x
naval_schools_two_desc;Our captains are instructed in advanced naval tactics before leading men into battle;;;;;;;x
foreign_navies_two;Advanced warships;;;;;;;x
foreign_navies_two_desc;We can construct our own modern warships;;;;;;;x
ai_boost;AI Boost;;;;;;;x
fairer_taxation;Taxation Relief;;;;;;;x
cotton_gin;Cotton Gin;;;;;;;x
cotton_gin_desc;Eli Whitney invented the first mechanical machine for separating cotton fibres from their seeds in 1793. This dramatically increased the productivity of cotton plantations.;;;;;;;x
cattle_trucks;Cattle Trucks;;;;;;;x
cattle_trucks_desc;The introduction of automobiles has also had one ancillary benefit: the development of cattle trucks, large enough to hold multiple cattle at once and speed up the process of delivering livestock for slaughter.;;;;;;;x
cattle_breeding_program;Cattle Breeding Program;;;;;;;x
cattle_breeding_program_desc;New methods of breeding livestock have led to a boom in cattle and horse populations, and permitted the average rancher far more control over the quality of his stock.;;;;;;;x
accelerated_vulcanization;Accelerated Vulcanization;;;;;;;x
accelerated_vulcanization_desc;It was discovered in the early Twentieth Century that the addition of the organic compound aniline produced an accelerating effect. The active zinc salts in the aniline react strongly with the zinc oxide present in sulfur-vulcanized rubber to decrease the cure time necessary. Other compounds were later used that provided even faster cure times.;;;;;;;x
silk_waste_spinning;Silk Waste Spinning;;;;;;;x
silk_waste_spinning_desc;This was a cumulative set of processes developed throughout the 19th century to process previously unusable silk. Sources of waste silk included the gummy silk fibres left over the predominant Silk Throwing Process and from the cocoons of the mulberry worms themselves. Previously this 'waste silk' had accounted for nearly 50% of raw silk production, and now it could be utilized too.;;;;;;;x
inclosure;Inclosure;;;;;;;x
