Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
roundhead_leagacy;The Roundhead Legacy;;;;;;;x
cop;The Central Industrial Region;;;;;;;x
Francias_Enlightenment;Francia's Enlightenment;;;;;;;x
Francias_Enlightenment_desc;Jose Gaspar Rodriguez de Francia is ruling this nation firmly but fairly. Paraguay is strengthened by him;;;;;;;x
immunity_from_influenza;Immunity from Influenza;;;;;;;x
immunity_from_influenza_desc;Prevents Pandemic Influenza from recurring in your country as long as modifier is active.;;;;;;;x
no_more_war_reperations;No More War Reperations Can be Added on You.;;;;;;;x
no_more_war_reperations_desc;Due to the nature of stacking of War Reperations by multiple countries on a single nation, it is possible to earn 80% or even 120% of all income in a country leading to a unrecoverable situation when Reperations are added every-war.;;;;;;;x
chinese_economic_compensation;;;;;;;x
integration_refusal;No Integration;;;;;;;x
integration_refusal_desc;The province is not being integrated into the rest of the country, and being allowed to maintain its separate identity.;;;;;;;x
core_integration;Core Integration;;;;;;;x
core_integration_desc;The province is being integrated into the rest of the country, a slow process that may cause problems here.;;;;;;;x
