Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
restore_ottoman_egypt_title;Restore Ottoman rule in Egypt;;;;;;;x
restore_ottoman_egypt_desc;Egypt has broken away from us after a relatively succesful campaign of Napoleon the Great in land of the pharoes, but the time has come to get it back;;;;;;;x
magrhreb_domination_title;Domination in the Maghreb;;;;;;;x
magrhreb_domination_desc;As the sole muslim great power we should protect our brothers in faith in the Maghreb;;;;;;;x
force_peru_title;Incorporate Peru;;;;;;;x
force_peru_desc;Let us expand and continue the Bolivarian dream of a united Latin American republic, starting with the incorporation of Peru;;;;;;;x
acquire_cuba_title;Acquire Cuba;;;;;;;x
acquire_cuba_desc;We should try to bargain with our spanish friend to get the Island of Cuba as it's mush closer to our border than theirs!;;;;;;;x
regno_uni_title;Regno unii;;;;;;;x
regno_uni_desc;One Empire, two nations, one objective - expansion to liberate our brothers of foreign yoke;;;;;;;x
move_capital_to_rio_title;Move capital to Rio;;;;;;;x
move_capital_to_rio_desc;We should move our capital to Rio, i heard you can meet a monke there;;;;;;;x
restore_persian_empire_title;Restore the Persian Empire;;;;;;;x
restore_persian_empire_desc;Lands ripped away from us centuries ago are ought to be returned now that we're much more powerful;;;;;;;x
repartition_poland_AUS_title;Partition Poland;;;;;;;x
repartition_poland_AUS_desc;We should repartition Poland again, they can't seem to govern themselves anyway;;;;;;;x
unite_westfalen_title;Unite the Kingdom of Westphalia;;;;;;;x
unite_westfalen_desc;Many princedoms were given to us after the death of Napoleon the Great, the time has come to incorporate them properly into our realm;;;;;;;x
united_westfalen;Westphalia has been consolidated;;;;;;;x
unite_rhine_confederacy_title;Form the Rhine Confederacy;;;;;;;x
unite_rhine_confederacy_desc;Our dominant position in the area and favor with the French allow us to unite the German lands peacefully with a promise to coexist with our western neighbour;;;;;;;x
assume_the_crown_of_italy_title;Assume the Crown of Italy;;;;;;;x
assume_the_crown_of_italy_desc;With Italy under our control, we can safely consider ourselves a real Kingdom of Italy.;;;;;;;x
repartition_poland_title;Partition Poland;;;;;;;x
repartition_poland_desc;We should repartition Poland again, they can't seem to govern themselves anyway;;;;;;;x
greater_prussia_title;Restore what's ours;;;;;;;x
greater_prussia_desc;The proud Prussian people have endured living in a French-dominated world for too long! Now starts our rise to greatness!;;;;;;;x
repartition_poland_RUS_title;Repartition Lithuania;;;;;;;x
repartition_poland_RUS_desc;We should repartition Lithuania again, they can't seem to govern themselves anyway;;;;;;;x
conquer_finland_title;Conquer Finland;;;;;;;x
conquer_finland_desc;Acquiring Finland is of vital use to us as it protects our exposed capital. ;;;;;;;x
the_danzig_coup_title;The Danzig Coup;;;;;;;x
the_danzig_coup_desc;The republic of Danzig is staffed with officials friendly to us, our king must merely lift his finger and an annexation bill is sure to come. Let us erase this disgusting by-product of the Napoleonic wars and return the city to its rightful owner.;;;;;;;x
create_cop_title;Create The Central Industrial Region;;;;;;;x
create_cop_desc;The Central Industrial Region was one of the biggest economic projects of the Poland. The 5-year-long project was initiated by a famous Polish economist, deputy Prime Minister and Minister of the Treasury, Eugeniusz Kwiatkowski. Its goal was to create a heavy industrial center in the middle of the country, as far as possible from any borders, strengthen the Polish economy and reduce unemployment.;;;;;;;x
unite_la_plata_title;Form the United Provinces of Rio de La Plata;;;;;;;x
unite_la_plata_desc;The nations which were once part of the Viceroyalty of Rio de La Plata must be reunited under a single flag once again, the platinean peoples bound together into a great nation, a power to rule in the New World, the United Provinces of Rio de La Plata.;;;;;;;x
reclaim_louisiana_title;Reclaim Louisiana!;;;;;;;x
reclaim_louisiana_desc;With the pesky Cherokee blocking our access to lands that we rightfully bought from the French, our claim on the American Frontier didn't hold much ground. With that nuisance out of the way, though, we ought to renew our claim on American land!;;;;;;;x
crusade_for_canada_title;The Crusade for Canada;;;;;;;x
crusade_for_canada_desc;Our northern neighbors, the Canadians, are being unjustly exploited by British nobles. To achieve peace in the New World, this imperialism must be put to an end. Accepting Canadians and coring North Mexico are mutually exclusive.;;;;;;;x
get_back_our_eastern_claim_title;Take back our Eastern Claims!;;;;;;;x
get_back_our_eastern_claim_desc;After the disastrous Wars of the Coalition, our rightful land in the Kingdom of Galicia was stolen by the Polish-Lithuanian Commonwealth. This was a terrible mistake; and now it falls upon us to mend the situation.;;;Después de las desastrosas Guerras de Coalición, nuestra tierra legítima en el Reino de Galicia fue robada por la Mancomunidad Polaco-Lituana. Este fue un terrible error;Tras las desastrosas Guerras de la Coalici?n, la Mancomunidad Polaco-Lituana nos rob? las tierras que nos correspond?an en el Reino de Galicia. Esto fue un terrible error; y ahora nos corresponde a nosotros arreglar la situaci?n.;;;;;;;x
finish_poland_partition_title;Finish the New Partitions of Poland!;;;;;;;x
finish_poland_partition_desc;It has become apparent that the lords of Poland are utterly incompetent at administrating their own realm. There is no point in having them keep holding onto land that was once Austrian.;;;;;;;x
reintegrate_illiya_title;Reintegrate Illyria;;;;;;;x
reintegrate_illiya_desc;After the Wars of the Coalition against Napoleon, we were forced to acknowledge an independent, 'Illyrian' state in Croatia, and therefore, Austrian territory. However, with France losing their power in the region, and our diplomats further accumulating influence, we are able to reintegrate Illyria into our country.;;;;;;;x
form_iberia_title;Unite Iberia!;;;;;;;x
form_iberia_desc;Now that we are united with Portugal and that we have reclaimed Catalonia, we can finally claim the union of all Iberians under one flag!;;;;;;;x
expand_citizenship1_title;Give citizenship to the Caraibes;;;;;;;x
expand_citizenship1_desc;The Caraibes have been a part of Spain since the beginning of the 16th century and it was the place we began our glorious colonial empire from. Now, it's time to make these great islands a part of the Metropolie;;;;;;;x
expand_citizenship2_title;Grant citizenship to the Phillipines;;;;;;;x
expand_citizenship2_desc;Now that Caraibes has been accepted, let's continue this propagation of citizenship to our last asian colonies, the Phillipines.;;;;;;;x
reconquest_of_north_territory_title;Reconquest of Prussia!;;;;;;;x
reconquest_of_north_territory_desc;We have reconquered the region of Prussia, a legitimate region of the Polish-Lithuanian Commonwealth!;;;;;;;x
unite_poles1_title;The Polish Patriots of Slask;;;;;;;x
unite_poles1_desc;We have saved the Poles from the Prussian imperialism in Slask!;;;;;;;x
unite_poles2_title;Unite with the Galician Poles!;;;;;;;x
unite_poles2_desc;East and West Galician Poles are finally united under the flag of the Polish-Lithuanian Commonwealth, they don't need to fear the Austrian black eagle!;;;;;;;x
all_poles_united_desc;We have finally ended the partition that begun two centuries ago and reestablished Poland's former glory and borders!;;;;;;;x
expand_german_influence_title;Expand our Germanic influence!;;;;;;;x
expand_german_influence_desc;The pressure we put on Prussia gave us possibility to expand our influence in Germany;;;;;;;x
baltic_influence_title;Expand our influence in the Baltic!;;;;;;;x
baltic_influence_desc;We have subjugated the Baltics, we should give it's people citizenship to avoid revolts!;;;;;;;x
baltic_influence_RUS_title;Expand our influence in the Baltic!;;;;;;;x
baltic_influence_RUS_desc;We have subjugated the Baltics, we should give it's people citizenship to avoid revolts!;;;;;;;x
expand_german_territory_title;Expand our German territory!;;;;;;;x
expand_german_territory_desc;We must keep our hold on North Germany and pursuit the domination of the Baltic!;;;;;;;x
german_expansion1_title;Continue the German Expansion!;;;;;;;x
german_expansion1_desc;Now that we established ourselves as a North German power, we must seek dominance over the whole North German region.;;;;;;;x
german_expansion2_title;Continue the German Expansion!;;;;;;;x
german_expansion2_desc;Now that we established ourselves as a North German power, we must seek dominance over the whole North German region.;;;;;;;x
expand_in_russia_title;Russian expansion!;;;;;;;x
